key,name,date,value
9,Fuller Park,1998,145761
9,Fuller Park,1999,141123
9,Fuller Park,2000,196469
9,Fuller Park,2001,241591
9,Gage Park,1990,2188600
9,Gage Park,1991,2485715
9,Gage Park,1992,2368102
9,Gage Park,1993,2189159
9,Gage Park,1994,2535501
9,Gage Park,1995,3675675
9,Gage Park,1996,4649227
9,Gage Park,1997,4526735
9,Gage Park,1998,2960478
9,Gage Park,1999,2516028
9,Gage Park,2000,3146074
9,Gage Park,2001,4136149
3,Garfield Ridge,1990,5440581
3,Garfield Ridge,1991,5105410
3,Garfield Ridge,1992,4565215
3,Garfield Ridge,1993,4832740
3,Garfield Ridge,1994,6313755
3,Garfield Ridge,1995,9907841
3,Garfield Ridge,1996,12077317
3,Garfield Ridge,1997,11088536
3,Garfield Ridge,1998,6371999
3,Garfield Ridge,1999,5270089
3,Garfield Ridge,2000,6380474
3,Garfield Ridge,2001,8043177
5,Grand Boulevard,1990,363099
5,Grand Boulevard,1991,357753
5,Grand Boulevard,1992,342434
5,Grand Boulevard,1993,332937
5,Grand Boulevard,1994,358705
5,Grand Boulevard,1995,449053
5,Grand Boulevard,1996,567180
5,Grand Boulevard,1997,583096
5,Grand Boulevard,1998,414542
5,Grand Boulevard,1999,375427
5,Grand Boulevard,2000,463874
5,Grand Boulevard,2001,621839
6,Greater Grand Crossing,1990,1584101
6,Greater Grand Crossing,1991,1713985
6,Greater Grand Crossing,1992,1581372
6,Greater Grand Crossing,1993,1494547
6,Greater Grand Crossing,1994,1705481
6,Greater Grand Crossing,1995,2385439
6,Greater Grand Crossing,1996,2580839
6,Greater Grand Crossing,1997,2317133
6,Greater Grand Crossing,1998,1642015
6,Greater Grand Crossing,1999,1787336
6,Greater Grand Crossing,2000,2377466
6,Greater Grand Crossing,2001,3053422
4,Hegewisch,1990,912551
4,Hegewisch,1991,1062984
4,Hegewisch,1992,1021201
4,Hegewisch,1993,1239298
4,Hegewisch,1994,1498779
4,Hegewisch,1995,2135862
4,Hegewisch,1996,2846479
4,Hegewisch,1997,2541610
4,Hegewisch,1998,1753626
4,Hegewisch,1999,1368118
4,Hegewisch,2000,1530232
4,Hegewisch,2001,1785118
7,Hermosa,1990,1065122
7,Hermosa,1991,1129014
7,Hermosa,1992,1201684
7,Hermosa,1993,1062621
